"neighbourhood","room_type","count","mean_price"
"'Elys'ee","Entire home/apt",2075,441.964337349398
"'Elys'ee","Hotel room",77,379.688311688312
"'Elys'ee","Private room",220,464.586363636364
"Batignolles-Monceau","Entire home/apt",3997,275.892419314486
"Batignolles-Monceau","Hotel room",45,268
"Batignolles-Monceau","Private room",419,168.171837708831
"Batignolles-Monceau","Shared room",7,342.857142857143
"Bourse","Entire home/apt",2278,257.481562774363
"Bourse","Hotel room",1,999
"Bourse","Private room",144,250.048611111111
"Bourse","Shared room",4,63.25
"Buttes-Chaumont","Entire home/apt",2933,200.139788612342
"Buttes-Chaumont","Hotel room",2,565.5
"Buttes-Chaumont","Private room",322,95.9627329192547
"Buttes-Chaumont","Shared room",28,166.071428571429
"Buttes-Montmartre","Entire home/apt",5944,182.898721399731
"Buttes-Montmartre","Hotel room",42,268.857142857143
"Buttes-Montmartre","Private room",462,123.727272727273
"Buttes-Montmartre","Shared room",17,94.5882352941177
"Entrep^ot","Entire home/apt",3656,223.583424507659
"Entrep^ot","Hotel room",18,282.333333333333
"Entrep^ot","Private room",387,168.219638242894
"Entrep^ot","Shared room",21,76.5714285714286
"Gobelins","Entire home/apt",1832,191.556222707424
"Gobelins","Hotel room",7,256
"Gobelins","Private room",268,112.339552238806
"Gobelins","Shared room",10,109
"H^otel-de-Ville","Entire home/apt",1942,293.103501544799
"H^otel-de-Ville","Hotel room",9,513.555555555556
"H^otel-de-Ville","Private room",125,256.456
"H^otel-de-Ville","Shared room",9,103.777777777778
"Louvre","Entire home/apt",1432,341.789804469274
"Louvre","Hotel room",30,416.066666666667
"Louvre","Private room",138,291.326086956522
"Louvre","Shared room",2,126.5
"Luxembourg","Entire home/apt",1779,342.717256885891
"Luxembourg","Hotel room",58,387.275862068966
"Luxembourg","Private room",163,250.766871165644
"Luxembourg","Shared room",3,70
"M'enilmontant","Entire home/apt",2773,166.04363505229
"M'enilmontant","Hotel room",6,600.5
"M'enilmontant","Private room",282,98.0531914893617
"M'enilmontant","Shared room",21,86.3333333333333
"Observatoire","Entire home/apt",2028,208.498520710059
"Observatoire","Hotel room",20,255
"Observatoire","Private room",322,164.487577639752
"Observatoire","Shared room",8,52.75
"Op'era","Entire home/apt",2726,255.297872340426
"Op'era","Hotel room",46,281.369565217391
"Op'era","Private room",426,273.511737089202
"Op'era","Shared room",6,67.3333333333333
"Palais-Bourbon","Entire home/apt",1832,424.646288209607
"Palais-Bourbon","Hotel room",23,388.086956521739
"Palais-Bourbon","Private room",127,204.834645669291
"Palais-Bourbon","Shared room",2,115
"Panth'eon","Entire home/apt",1852,257.867710583153
"Panth'eon","Hotel room",21,281.190476190476
"Panth'eon","Private room",177,194.819209039548
"Panth'eon","Shared room",7,94.1428571428571
"Passy","Entire home/apt",4333,423.071082390953
"Passy","Hotel room",36,305.916666666667
"Passy","Private room",300,211.72
"Passy","Shared room",14,85.9285714285714
"Popincourt","Entire home/apt",4882,215.445923801721
"Popincourt","Hotel room",33,274.818181818182
"Popincourt","Private room",382,152.227748691099
"Popincourt","Shared room",23,97.0434782608696
"Reuilly","Entire home/apt",2247,218.18202047174
"Reuilly","Hotel room",21,209.809523809524
"Reuilly","Private room",283,203.865724381625
"Reuilly","Shared room",20,271.35
"Temple","Entire home/apt",2715,255.670349907919
"Temple","Hotel room",2,307
"Temple","Private room",120,152.958333333333
"Temple","Shared room",22,45.5454545454545
"Vaugirard","Entire home/apt",4630,251.841684665227
"Vaugirard","Hotel room",44,261.045454545455
"Vaugirard","Private room",499,190.346693386774
"Vaugirard","Shared room",13,75.6923076923077
